ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,,ECG
RR,RR,,,,,,,,,,,,,,,,,,,,,,,,,,
IBI,IBI,,,,,,,,,,,,,,,,,,,,,,,,,,
Bursts,Bursts,,,,,,,,,,,,,,,,,,,,,,,,,,
Suppr,Suppr,,,,,,,,,,,,,,,,,,,,,,,,,,
G 43,,G 43,G 43,G 43,G 43,G 43,G 43,G 43,G 43,G 43,G 43,G 43,,G 43,G 43,G 43,G 43,G 43,G 43,G 43,G 43,G 43,G 43,G 43,G 43,,G 43
G 44,,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,G 44,,G 44
G 45,,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,G 45,,G 45
G 46,,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,G 46,,G 46
G 47,,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,G 47,,G 47
G 48,,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,G 48,,G 48
G 51,,G 51,G 51,G 51,G 51,G 51,G 51,G 51,G 51,G 51,G 51,G 51,,G 51,G 51,G 51,G 51,G 51,G 51,G 51,G 51,G 51,G 51,G 51,G 51,,G 51
G 52,,G 52,G 52,G 52,G 52,G 52,G 52,G 52,G 52,G 52,G 52,G 52,,G 52,G 52,G 52,G 52,G 52,G 52,G 52,G 52,G 52,G 52,G 52,G 52,,G 52
G 53,,G 53,G 53,G 53,G 53,G 53,G 53,G 53,G 53,G 53,G 53,G 53,,G 53,G 53,G 53,G 53,G 53,G 53,G 53,G 53,G 53,G 53,G 53,G 53,,G 53
G 54,,G 54,G 54,G 54,G 54,G 54,G 54,G 54,G 54,G 54,G 54,G 54,,G 54,G 54,G 54,G 54,G 54,G 54,G 54,G 54,G 54,G 54,G 54,G 54,,G 54
G 55,,G 55,G 55,G 55,G 55,G 55,G 55,G 55,G 55,G 55,G 55,G 55,,G 55,G 55,G 55,G 55,G 55,G 55,G 55,G 55,G 55,G 55,G 55,G 55,,G 55
G 56,,G 56,G 56,G 56,G 56,G 56,G 56,G 56,G 56,G 56,G 56,G 56,,G 56,G 56,G 56,G 56,G 56,G 56,G 56,G 56,G 56,G 56,G 56,G 56,,G 56
G 59,,G 59,G 59,G 59,G 59,G 59,G 59,G 59,G 59,G 59,G 59,G 59,,G 59,G 59,G 59,G 59,G 59,G 59,G 59,G 59,G 59,G 59,G 59,G 59,,G 59
G 60,,G 60,G 60,G 60,G 60,G 60,G 60,G 60,G 60,G 60,G 60,G 60,,G 60,G 60,G 60,G 60,G 60,G 60,G 60,G 60,G 60,G 60,G 60,G 60,,G 60
G 61,,G 61,G 61,G 61,G 61,G 61,G 61,G 61,G 61,G 61,G 61,G 61,,G 61,G 61,G 61,G 61,G 61,G 61,G 61,G 61,G 61,G 61,G 61,G 61,,G 61
G 62,,G 62,G 62,G 62,G 62,G 62,G 62,G 62,G 62,G 62,G 62,G 62,,G 62,G 62,G 62,G 62,G 62,G 62,G 62,G 62,G 62,G 62,G 62,G 62,,G 62
G 63,,G 63,G 63,G 63,G 63,G 63,G 63,G 63,G 63,G 63,G 63,G 63,,G 63,G 63,G 63,G 63,G 63,G 63,G 63,G 63,G 63,G 63,G 63,G 63,,G 63
G 64,,G 64,G 64,G 64,G 64,G 64,G 64,G 64,G 64,G 64,G 64,G 64,,G 64,G 64,G 64,G 64,G 64,G 64,G 64,G 64,G 64,G 64,G 64,G 64,,G 64
EMG Upper L arm,,,EMG Upper L arm,EMG Upper L arm,EMG Upper L arm,EMG Upper L arm,EMG Upper L arm,EMG Upper L arm,EMG Upper L arm,EMG Upper L arm,EMG Upper L arm,EMG Upper L arm,,EMG Upper L arm,,,,EMG Upper L arm,EMG Upper L arm,EMG Upper L arm,EMG Upper L arm,EMG Upper L arm,EMG Upper L arm,EMG Upper L arm,EMG Upper L arm,,EMG Upper L arm
EMG Lower L arm,,,EMG Lower L arm,EMG Lower L arm,EMG Lower L arm,EMG Lower L arm,EMG Lower L arm,EMG Lower L arm,EMG Lower L arm,EMG Lower L arm,EMG Lower L arm,EMG Lower L arm,,EMG Lower L arm,,,,EMG Lower L arm,EMG Lower L arm,EMG Lower L arm,EMG Lower L arm,EMG Lower L arm,EMG Lower L arm,EMG Lower L arm,EMG Lower L arm,,EMG Lower L arm
G1,,,,,,,,,,,,,G1,,,,,,,,,,,,,,
G2,,,,,,,,,,,,,G2,,,,,,,,,,,,,,
G3,,,,,,,,,,,,,G3,,,,,,,,,,,,,,
G4,,,,,,,,,,,,,G4,,,,,,,,,,,,,,
G5,,,,,,,,,,,,,G5,,,,,,,,,,,,,,
G6,,,,,,,,,,,,,G6,,,,,,,,,,,,,,
G7,,,,,,,,,,,,,G7,,,,,,,,,,,,,,
G8,,,,,,,,,,,,,G8,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,1,
