cha_labels,F:\UCLH_GLAS\icEEG\934\W641_1\Patient2t2_11242010190443\Pruned_1.edf,F:\UCLH_GLAS\icEEG\934\W641_1\Patient2t2_11242010190443\Pruned_2.edf,F:\UCLH_GLAS\icEEG\934\W641_2\Pruned_11252010161432\Pruned_1.edf,F:\UCLH_GLAS\icEEG\934\W641_2\Pruned_11252010161432\Pruned_2.edf,F:\UCLH_GLAS\icEEG\934\W641_2\Pruned_11252010161432\Pruned_3.edf,F:\UCLH_GLAS\icEEG\934\W641_2\Pruned_11252010161432\Pruned_4.edf,F:\UCLH_GLAS\icEEG\934\W641_2\Pruned_11252010161432\Pruned_5.edf,F:\UCLH_GLAS\icEEG\934\W641_2\Pruned_11252010161432\Pruned_6.edf,F:\UCLH_GLAS\icEEG\934\W641_2\Pruned_11252010161432\Pruned_7.edf,F:\UCLH_GLAS\icEEG\934\W641_2\Pruned_11252010161432\Pruned_8.edf,F:\UCLH_GLAS\icEEG\934\W641_2\Pruned_11252010161432\Pruned_9.edf,F:\UCLH_GLAS\icEEG\934\W641_3\Patient3t1_11242010190605\Pruned_1.edf,F:\UCLH_GLAS\icEEG\934\W641_3\Patient3t1_11242010190605\Pruned_2.edf,F:\UCLH_GLAS\icEEG\934\W641_3\Patient3t1_11242010190605\Pruned_4.edf,F:\UCLH_GLAS\icEEG\934\W641_4\Pruned_11262010181435\Pruned_1.edf,F:\UCLH_GLAS\icEEG\934\W641_4\Pruned_11262010181435\Pruned_2.edf,F:\UCLH_GLAS\icEEG\934\W641_4\Pruned_11262010181435\Pruned_3.edf,F:\UCLH_GLAS\icEEG\934\W641_5\Pruned_11252010165208\Pruned_1.edf,F:\UCLH_GLAS\icEEG\934\W641_5\Pruned_11262010182128\Pruned_1.edf,F:\UCLH_GLAS\icEEG\934\W641_5\Pruned_11262010182128\Pruned_2.edf,F:\UCLH_GLAS\icEEG\934\W641_5\Pruned_11262010182128\Pruned_3.edf,F:\UCLH_GLAS\icEEG\934\W641_5\Pruned_11262010182128\Pruned_4.edf,F:\UCLH_GLAS\icEEG\934\W641_5\Pruned_11262010182128\Pruned_5.edf
SB 03,SB 03,SB 03,SB 03,,SB 03,SB 03,SB 03,,SB 03,SB 03,SB 03,SB 03,SB 03,,SB 03,,SB 03,SB 03,SB 03,,SB 03,,SB 03
SB 04,SB 04,SB 04,SB 04,,SB 04,SB 04,SB 04,,SB 04,SB 04,SB 04,SB 04,SB 04,,SB 04,,SB 04,SB 04,SB 04,,SB 04,,SB 04
SB 05,SB 05,SB 05,SB 05,,SB 05,SB 05,SB 05,,SB 05,SB 05,SB 05,SB 05,SB 05,,SB 05,,SB 05,SB 05,SB 05,,SB 05,,SB 05
SB 06,SB 06,SB 06,SB 06,,SB 06,SB 06,SB 06,,SB 06,SB 06,SB 06,SB 06,SB 06,,SB 06,,SB 06,SB 06,SB 06,,SB 06,,SB 06
DA 01,DA 01,DA 01,DA 01,,DA 01,DA 01,DA 01,,DA 01,DA 01,DA 01,DA 01,DA 01,,DA 01,,DA 01,DA 01,DA 01,,DA 01,,DA 01
DA 02,DA 02,DA 02,DA 02,,DA 02,DA 02,DA 02,,DA 02,DA 02,DA 02,DA 02,DA 02,,DA 02,,DA 02,DA 02,DA 02,,DA 02,,DA 02
DA 03,DA 03,DA 03,DA 03,,DA 03,DA 03,DA 03,,DA 03,DA 03,DA 03,DA 03,DA 03,,DA 03,,DA 03,DA 03,DA 03,,DA 03,,DA 03
DA 04,DA 04,DA 04,DA 04,,DA 04,DA 04,DA 04,,DA 04,DA 04,DA 04,DA 04,DA 04,,DA 04,,DA 04,DA 04,DA 04,,DA 04,,DA 04
DB 01,DB 01,DB 01,DB 01,,DB 01,DB 01,DB 01,,DB 01,DB 01,DB 01,DB 01,DB 01,,DB 01,,DB 01,DB 01,DB 01,,DB 01,,DB 01
DB 02,DB 02,DB 02,DB 02,,DB 02,DB 02,DB 02,,DB 02,DB 02,DB 02,DB 02,DB 02,,DB 02,,DB 02,DB 02,DB 02,,DB 02,,DB 02
DB 03,DB 03,DB 03,DB 03,,DB 03,DB 03,DB 03,,DB 03,DB 03,DB 03,DB 03,DB 03,,DB 03,,DB 03,DB 03,DB 03,,DB 03,,DB 03
DB 04,DB 04,DB 04,DB 04,,DB 04,DB 04,DB 04,,DB 04,DB 04,DB 04,DB 04,DB 04,,DB 04,,DB 04,DB 04,DB 04,,DB 04,,DB 04
ECG,ECG,ECG,ECG,,ECG,ECG,ECG,,ECG,ECG,ECG,ECG,ECG,,ECG,,ECG,ECG,ECG,,ECG,,ECG
G 49,,,G 49,,G 49,G 49,G 49,,G 49,G 49,,,,,,,,,,,,,
G 50,,,G 50,,G 50,G 50,G 50,,G 50,G 50,,,,,,,,,,,,,
G 57,,,G 57,,G 57,G 57,G 57,,G 57,G 57,,,,,,,,,,,,,
G 58,,,G 58,,G 58,G 58,G 58,,G 58,G 58,,,,,,,,,,,,,
1,,,,1,,,,1,,,,,,1,,1,,,,1,,1,
Photic,,,,,,,,,,,,,,,Photic,,Photic,,Photic,,Photic,,Photic
